,,,,,,,,crop,busytime
,農友資訊,,hackfoldr標記(會與「介紹」合併),介紹,地址,經緯度(程式自動補完),,輸出的農產品,農忙需人手的時間
,,,,,,,,,
,,,,,,,,,
http://www.buydirectlyfromfarmers.tw/,直接跟農夫買新網站,,,,,,,,
,,,,,,,,,
https://www.facebook.com/BuyDirectlyFromFarmers/app_208195102528120,農友資訊匯整,,,,,,,,
https://www.facebook.com/pages/%E7%B6%A0%E7%AB%B9%E9%85%AA%E6%A2%A8/365342010253052?fref=ts,綠竹酪梨,,,,雲林縣斗六西螺鎮,"23.797689?? 120.466217",,酪梨,待確認
,,,,,,,,,
https://www.facebook.com/pages/%E6%BA%90%E9%84%89%E8%87%AA%E7%84%B6%E7%94%9F%E6%85%8B%E8%BE%B2%E5%9C%92%E5%9C%B0%E7%93%9C%E7%B1%B3/169404029789490,源鄉自然農園,,,,雲林,"23.69964?? 120.52627",,稻米、地瓜,待確認
